cat	pval	fdr	stars
Cofactors, Vitamins, Prosthetic Groups, Pigments	9.9999990000001e-08	6.49999935000007e-07	 * * *
Cell Wall and Capsule	0.106329389367061	0.167809947924888	
Virulence, Disease and Defense	0.479497152050285	0.542040258839452	
Potassium metabolism	0.0549478945052106	0.119053771427956	
Miscellaneous	0.0159541984045802	0.0509530615713605	
Phages, Prophages, Transposable elements, Plasmids	0.000837899916210008	0.00311219968878003	 * *
Membrane Transport	0.418116758188324	0.503393513297012	
Iron acquisition and metabolism	1	1	
RNA Metabolism	0.151781584821842	0.208525315989574	
Nucleosides and Nucleotides	0.0176375982362402	0.0509530615713605	
Protein Metabolism	0.0887265911273409	0.153792757954058	
Cell Division and Cell Cycle	0.0390272960972704	0.101470969852903	
Motility and Chemotaxis	1	1	
Regulation and Cell signaling	0.0856577914342209	0.153792757954058	
Secondary Metabolism	1	1	
DNA Metabolism	0.000333299966670003	0.00144429985557001	 * *
Fatty Acids, Lipids, and Isoprenoids	0.0789440921055908	0.153792757954058	
Nitrogen Metabolism	0.0444634955536504	0.105095534944992	
Dormancy and Sporulation	9.9999990000001e-08	6.49999935000007e-07	 * * *
Respiration	9.9999990000001e-08	6.49999935000007e-07	 * * *
Stress Response	0.152383884761612	0.208525315989574	
Metabolism of Aromatic Compounds	0.425948357405164	0.503393513297012	
Amino Acids and Derivatives	9.9999990000001e-08	6.49999935000007e-07	 * * *
Sulfur Metabolism	0.246345475365452	0.320249117975088	
Phosphorus Metabolism	0.109721889027811	0.167809947924888	
Carbohydrates	2.99999970000003e-07	1.55999984400002e-06	 * * *
